event_id,rig_id,sensor_id,sensor_type,value,unit,event_timestamp
E000001,RIG_06,SEN_04,temperature,70.97,C,2025-02-01 00:00:00
E000002,RIG_02,SEN_10,flow,286.22,l/min,2025-02-01 00:00:30
E000003,RIG_07,SEN_17,vibration,4.34,mm/s,2025-02-01 00:01:00
E000004,RIG_02,SEN_13,temperature,72.33,C,2025-02-01 00:01:30
E000005,RIG_04,SEN_17,flow,118.35,l/min,2025-02-01 00:02:00
E000006,RIG_08,SEN_19,pressure,2061.25,psi,2025-02-01 00:02:30
E000007,RIG_07,SEN_14,vibration,1.99,mm/s,2025-02-01 00:03:00
E000008,RIG_03,SEN_15,vibration,4.57,mm/s,2025-02-01 00:03:30
E000009,RIG_02,SEN_02,pressure,2959.57,psi,2025-02-01 00:04:00
E000010,RIG_07,SEN_04,vibration,2.14,mm/s,2025-02-01 00:04:30
E000011,RIG_03,SEN_02,pressure,2242.28,psi,2025-02-01 00:05:00
E000012,RIG_08,SEN_15,flow,121.13,l/min,2025-02-01 00:05:30
E000013,RIG_07,SEN_05,flow,99.38,l/min,2025-02-01 00:06:00
E000014,RIG_10,SEN_01,flow,295.67,l/min,2025-02-01 00:06:30
E000015,RIG_05,SEN_12,pressure,2675.68,psi,2025-02-01 00:07:00
E000016,RIG_03,SEN_20,flow,129.21,l/min,2025-02-01 00:07:30
E000017,RIG_09,SEN_02,vibration,2.19,mm/s,2025-02-01 00:08:00
E000018,RIG_08,SEN_20,flow,92.71,l/min,2025-02-01 00:08:30
E000019,RIG_02,SEN_19,pressure,2464.14,psi,2025-02-01 00:09:00
E000020,RIG_02,SEN_05,pressure,2494.43,psi,2025-02-01 00:09:30
E000021,RIG_02,SEN_04,flow,109.67,l/min,2025-02-01 00:10:00
E000022,RIG_09,SEN_07,pressure,2229.47,psi,2025-02-01 00:10:30
E000023,RIG_04,SEN_14,vibration,1.75,mm/s,2025-02-01 00:11:00
E000024,RIG_03,SEN_03,vibration,3.08,mm/s,2025-02-01 00:11:30
E000025,RIG_08,SEN_14,temperature,77.4,C,2025-02-01 00:12:00
E000026,RIG_03,SEN_11,pressure,2734.14,psi,2025-02-01 00:12:30
E000027,RIG_05,SEN_16,temperature,78.3,C,2025-02-01 00:13:00
E000028,RIG_09,SEN_14,vibration,1.47,mm/s,2025-02-01 00:13:30
E000029,RIG_09,SEN_05,flow,94.3,l/min,2025-02-01 00:14:00
E000030,RIG_09,SEN_01,temperature,73.82,C,2025-02-01 00:14:30
E000031,RIG_08,SEN_08,flow,117.71,l/min,2025-02-01 00:15:00
E000032,RIG_05,SEN_16,vibration,4.26,mm/s,2025-02-01 00:15:30
E000033,RIG_07,SEN_05,flow,111.2,l/min,2025-02-01 00:16:00
E000034,RIG_08,SEN_09,flow,253.93,l/min,2025-02-01 00:16:30
E000035,RIG_01,SEN_17,temperature,195.72,C,2025-02-01 00:17:00
E000036,RIG_10,SEN_10,flow,230.45,l/min,2025-02-01 00:17:30
E000037,RIG_05,SEN_04,flow,224.85,l/min,2025-02-01 00:18:00
E000038,RIG_09,SEN_10,vibration,2.3,mm/s,2025-02-01 00:18:30
E000039,RIG_03,SEN_05,pressure,2796.49,psi,2025-02-01 00:19:00
E000040,RIG_04,SEN_13,temperature,70.89,C,2025-02-01 00:19:30
E000041,RIG_05,SEN_03,temperature,87.87,C,2025-02-01 00:20:00
E000042,RIG_07,SEN_18,flow,110.29,l/min,2025-02-01 00:20:30
E000043,RIG_01,SEN_11,flow,286.64,l/min,2025-02-01 00:21:00
E000044,RIG_07,SEN_09,flow,109.8,l/min,2025-02-01 00:21:30
E000045,RIG_01,SEN_01,flow,120.72,l/min,2025-02-01 00:22:00
